1	0.3094	0.5351	5	0.2004	0.4741	
6	0.1904	0.4561	1	0.3104	0.5461	
4	0.2204	0.4961	4	0.2184	0.4951	
6	0.1904	0.4561	2	0.2404	0.5201	
5	0.1904	0.4661	2	0.2424	0.5161	
3	0.2004	0.4871	1	0.2664	0.5281	
1	0.3004	0.5261	3	0.2204	0.5081	
4	0.2104	0.4871	3	0.2264	0.5061	
3	0.2164	0.4981	4	0.2084	0.4781	
3	0.2124	0.4981	5	0.2084	0.4781	
6	0.2004	0.4581	5	0.2044	0.4781	
1	0.2704	0.5261	6	0.1864	0.4451	
1	0.2364	0.5461	1	0.2404	0.5461	
6	0.2014	0.4501	3	0.2164	0.4981	
6	0.1994	0.4581	6	0.2044	0.4641	
2	0.2774	0.5361	3	0.2124	0.4981	
2	0.2544	0.5191	4	0.2004	0.4701	
4	0.2004	0.4761	1	0.2804	0.5361	
6	0.2044	0.4561	4	0.2074	0.4791	
2	0.2404	0.5361	1	0.3004	0.5391	
4	0.2044	0.4901	6	0.1924	0.4501	
1	0.2804	0.5361	4	0.2164	0.4911	
4	0.2204	0.5021	5	0.2124	0.4851	
5	0.2114	0.4791	5	0.2084	0.4821	
1	0.3004	0.5361	2	0.2204	0.5101	
3	0.2204	0.4961	6	0.1984	0.4621	
2	0.2404	0.5161	5	0.2084	0.4781	
5	0.2004	0.4821	6	0.1964	0.4581	
3	0.2404	0.5261	2	0.2604	0.5401	
5	0.2084	0.4831	4	0.2184	0.4941	
5	0.2044	0.4831	3	0.2144	0.4961	
2	0.2284	0.5111	2	0.2284	0.5121	
2	0.2504	0.5241	6	0.1944	0.4561	
4	0.2094	0.4941	2	0.2404	0.5201	
5	0.2144	0.4901	1	0.3014	0.5421	
3	0.2184	0.4981	3	0.2144	0.4961	
