4	0.2044	0.4731	5	0.2034	0.4641	
2	0.2334	0.5101	5	0.1984	0.4571	
5	0.2074	0.4721	6	0.2034	0.4331	
5	0.2054	0.4761	3	0.2244	0.5001	
4	0.2024	0.4711	2	0.2604	0.5261	
1	0.3044	0.5451	5	0.1894	0.4551	
1	0.3114	0.5411	2	0.1814	0.4971	
2	0.2534	0.5221	3	0.2384	0.5121	
6	0.1844	0.4241	1	0.3184	0.5461	
1	0.3044	0.5411	6	0.1764	0.4141	
3	0.2144	0.4901	2	0.2464	0.5201	
6	0.1844	0.4241	4	0.2144	0.4861	
2	0.2404	0.5161	4	0.1934	0.4571	
6	0.1964	0.4361	3	0.2264	0.4961	
4	0.2064	0.4801	6	0.2004	0.4281	
4	0.2004	0.4661	1	0.3084	0.5461	
3	0.2154	0.4901	4	0.2074	0.4651	
2	0.2384	0.5101	2	0.2414	0.5111	
4	0.2094	0.4811	3	0.2264	0.5021	
5	0.2024	0.4681	4	0.2134	0.4801	
3	0.2044	0.4821	1	0.3154	0.5431	
5	0.2084	0.4741	5	0.2104	0.4741	
3	0.2234	0.4961	3	0.2224	0.4961	
6	0.1804	0.4251	2	0.2724	0.5381	
3	0.2144	0.4901	5	0.2124	0.4701	
5	0.1924	0.4581	2	0.2504	0.5181	
1	0.2964	0.5421	1	0.2974	0.546	
2	0.2404	0.5061	6	0.1754	0.4341	
6	0.1964	0.4421	6	0.1954	0.4411	
6	0.1884	0.4381	5	0.2094	0.4761	
2	0.2074	0.4991	1	0.3134	0.5411	
4	0.2124	0.4851	4	0.2184	0.4861	
1	0.3044	0.5401	3	0.2384	0.5161	
5	0.2004	0.4661	1	0.3124	0.5471	
1	0.3004	0.5441	4	0.1874	0.4611	
3	0.2264	0.5031	6	0.2064	0.4511	
