0.452213	0.453160	0.454651
0.457800	0.458787	0.460270
0.463425	0.464454	0.465924
0.469087	0.470159	0.471612
0.474788	0.475903	0.477335
0.480527	0.481685	0.483094
0.486304	0.487507	0.488888
0.492119	0.493367	0.494717
0.497972	0.499266	0.500583
0.503864	0.505203	0.506486
0.509793	0.511179	0.512425
0.515762	0.517193	0.518401
0.521768	0.523245	0.524414
0.527814	0.529336	0.530465
0.533897	0.535465	0.536553
0.540020	0.541632	0.542680
0.546181	0.547837	0.548846
0.552381	0.554080	0.555050
0.558619	0.560361	0.561293
0.564897	0.566680	0.567575
0.571213	0.573037	0.573898
0.577568	0.579431	0.580260
0.583962	0.585863	0.586662
0.590396	0.592333	0.593105
0.596868	0.598840	0.599589
0.603380	0.605385	0.606114
0.609930	0.611967	0.612680
0.616521	0.618586	0.619288
0.623150	0.625243	0.625937
0.629820	0.631938	0.632628
0.636531	0.638671	0.639360
0.643282	0.645442	0.646133
0.650075	0.652252	0.652948
0.656909	0.659100	0.659803
0.663786	0.665988	0.666698
0.670705	0.672915	0.673634
0.677668	0.679882	0.680611
0.684673	0.686888	0.687628
0.691723	0.693934	0.694685
0.698817	0.701021	0.701781
0.705956	0.708148	0.708918
0.713139	0.715316	0.716094
0.720369	0.722525	0.723309
0.727644	0.729776	0.730564
0.734965	0.737067	0.737858
0.742334	0.744401	0.745191
0.749749	0.751777	0.752563
0.757212	0.759195	0.759974
0.764724	0.766655	0.767423
0.772283	0.774158	0.774911
0.779892	0.781704	0.782437
0.787550	0.789294	0.790001
0.795257	0.796927	0.797603
0.803014	0.804603	0.805243
0.810820	0.812323	0.812920
0.818673	0.820085	0.820636
0.826570	0.827888	0.828389
0.834512	0.835732	0.836181
0.842495	0.843616	0.844010
0.850519	0.851539	0.851877
0.858582	0.859501	0.859782
0.866681	0.867500	0.867725
0.874817	0.875536	0.875707
0.882986	0.883609	0.883726
0.891187	0.891716	0.891783
0.899419	0.899859	0.899878
0.907680	0.908036	0.908012
0.915968	0.916245	0.916183
0.924282	0.924487	0.924393
0.932621	0.932761	0.932641
0.940981	0.941066	0.940927
0.949363	0.949400	0.949251
0.957764	0.957765	0.957614
0.966182	0.966157	0.966014
0.974617	0.974578	0.974453
0.983066	0.983026	0.982931
0.991527	0.991500	0.991446
1.000000	1.000000	1.000000
